конверсия;Конверсия;Действие, которого маркетологи хотят добиться от посетителя. Регистрация аккаунта, добавление в корзину, заполнение анкеты, использование функции поиска и т.п. называют микроконверсиями. Конверсии, связанные с оплатой продукта - макроконверсией.;https://yagla.ru/blog/marketing/100-terminov-internetmarketinga-slovar-marketologa/;Conversion, Конверсия
cookie;Cookie;это небольшое количество текстовой информации, которая передается от сервера к вашему браузеру и хранится в нем для передачи обратно к серверу при каждом запросе. При помощи этой информации, каждый пользователь определяется системами веб-аналитики, как уникальный посетитель.;https://webpromoexperts.com.ua/blog/36-terminov-internet-marketinga/;Cookie
куки;куки;Небольшие файлы, которые хранятся в браузере компьютера и содержат информацию, связанную с посещениями пользователя определенных сайтов. Используются для отслеживания истории посещения страниц и выявления предпочтений пользователей.;https://yagla.ru/blog/marketing/100-terminov-internetmarketinga-slovar-marketologa/;Cookies, куки
затраты на приобретение;Затраты на приобретение;Общая стоимость конвертации посетителя сайта в клиента, приносящего доход.;https://yagla.ru/blog/marketing/100-terminov-internetmarketinga-slovar-marketologa/;Cost per acquisition, Затраты на приобретение
cost per click ;Cost per Click ;показатель эффективности рекламы по принципу «стоимость одного клика».;https://kaplunoff.com/blog/marketing-i-prodazhi/237-marketing-words;CPC 
цена за клик;Цена за клик;Модель оплаты рекламных кампаний в интернете, при которой рекламодатель платит определенную сумму за каждый клик по объявлению. Оплата производится владельцу сайта, на котором размещено объявление. Еще один (пожалуй, главный) пример – CPC в контекстной рекламе. Это цена клика в рекламных блоках Яндекс Директ и Google AdWords.;https://yagla.ru/blog/marketing/100-terminov-internetmarketinga-slovar-marketologa/;CPC, Cost per Click, Цена за клик
цена за 1 000 показов;Цена за 1 000 показов;Другая модель оплаты рекламных компаний. Сумма, которую рекламодатель платит за каждые 1 000 показов своего объявления.;https://yagla.ru/blog/marketing/100-terminov-internetmarketinga-slovar-marketologa/;CPM, Cost per thousand Impression, Цена за 1 000 показов
пауки  customer relationship management, crm-система;пауки  Customer Relationship Management, CRM-система;Корпоративное программное обеспечение, с помощью которого можно собирать, накапливать и анализировать информацию, связанную со взаимодействием компании со своими клиентами через все каналы коммуникаций.;https://yagla.ru/blog/marketing/100-terminov-internetmarketinga-slovar-marketologa/;Crawlers 
оптимизация конверсии;Оптимизация конверсии;Действия, которые повышают привлекательность, удобство и убедительность страницы с целью увеличения конверсионных действий (заявок, звонков, переходов, заказов).;https://yagla.ru/blog/marketing/100-terminov-internetmarketinga-slovar-marketologa/;CRO, Conversion Rate Optimization, Оптимизация конверсии
кросс-продажи;кросс-продажи;Продажи дополнительных товаров существующим клиентам;https://yagla.ru/blog/marketing/100-terminov-internetmarketinga-slovar-marketologa/;Cross Sales, кросс-продажи, перекрестные продажи
click-through rate ;click-through rate ;показатель кликабельности объявления, баннера, ссылки.;https://webpromoexperts.com.ua/blog/36-terminov-internet-marketinga/;CTR 
направляющие подсказки, указатели ;Направляющие подсказки, указатели ;Визуальные элементы сайта, которые используются для привлечения внимания посетителей к конкретной области на странице – обычно с СТА или важной информацией.;https://yagla.ru/blog/marketing/100-terminov-internetmarketinga-slovar-marketologa/;Directional cues 
динамический контент ;динамический контент ;Прием, когда сайт демонстрирует посетителям разные варианты контента в зависимости от поведенческих данных или запроса. Например, сервис позволяет подменять заголовки, подзаголовки, подписи к формам, кнопки CTA и изображения под запросы пользователей из контекстной рекламы.;https://yagla.ru/blog/marketing/100-terminov-internetmarketinga-slovar-marketologa/;Dynamic content 
email-маркетинг;Email-маркетинг;Стратегия использования электронной почты (email-рассылки) для привлечения и удержания клиентов.;https://yagla.ru/blog/marketing/100-terminov-internetmarketinga-slovar-marketologa/;Email-маркетинг
exit popup;Exit PopUp;Всплывающее окно, обычно с формой подписки на какую-либо информацию. Появляется, когда посетитель намерен покинуть сайт.;https://yagla.ru/blog/marketing/100-terminov-internetmarketinga-slovar-marketologa/;Exit PopUp
опрос на выходе ;Опрос на выходе ;Один или несколько вопросов, которые задают посетителю сайта с помощью специального виджета, когда он уходит с сайта (обычно вопросы в духе «Почему вы уходите?»);https://yagla.ru/blog/marketing/100-terminov-internetmarketinga-slovar-marketologa/;Exit Survey 
eye flow;Eye Flow;Технология отслеживания направления взгляда пользователя при просмотре сайта.;https://yagla.ru/blog/marketing/100-terminov-internetmarketinga-slovar-marketologa/;Eye Flow
eye-tracking;Eye-tracking;процесс записи положения или движения взгляда во время просмотра рекламы, чтения сайта, буклета, рассматривания упаковки и.т.д.;https://webpromoexperts.com.ua/blog/36-terminov-internet-marketinga/;Eye-tracking
трение ;трение ;Нежелательные эффекты, когда какой-либо элемент запутывает или отвлекает посетителя, в результате чего снижается конверсия. Это могут быть запутанная навигация, неприметные кнопки с призывом к действию или слишком длинная форма регистрации.;https://yagla.ru/blog/marketing/100-terminov-internetmarketinga-slovar-marketologa/;Friction 
воронка конверсии, маркетинговая воронка ;воронка конверсии, маркетинговая воронка ;Показывает последовательность шагов на пути клиента к покупке товара. Это конкретные этапы от просмотра объявления до заказа.;https://yagla.ru/blog/marketing/100-terminov-internetmarketinga-slovar-marketologa/;Funnel 
геймификация ;геймификация ;Прием внедрения игровых элементов в процесс взаимодействия бренда с потенциальными или существующими клиентами.;https://yagla.ru/blog/marketing/100-terminov-internetmarketinga-slovar-marketologa/;Gamification 
геолокация ;геолокация ;Сегментация пользователей в зависимости от их местоположения.;https://yagla.ru/blog/marketing/100-terminov-internetmarketinga-slovar-marketologa/;Geo-fencing 
google analytics;Google Analytics;инструмент от компании Google, который используется интернет-маркетологами для сбора и анализа детальной статистики о посещаемости сайтов. Ценность сервиса в том, что на основе полученных данных можно сделать конкретные выводы о необходимости оптимизации каждой рекламной и маркетинговой кампании. Google Analytics предоставляет данные о том откуда приходят посетители, как долго они остаются на сайте и где они находятся географически.;https://webpromoexperts.com.ua/blog/36-terminov-internet-marketinga/;Google Analytics
гроус-хакинг;гроус-хакинг;Резкое наращивание масштабов бизнеса в короткие сроки. Достигается за счет различных приемов - например, инновационных маркетинговых методов в сочетании с SEO, А/В тестированием, агрессивной ценовой политикой.;https://yagla.ru/blog/marketing/100-terminov-internetmarketinga-slovar-marketologa/;Growth Hacking 
тепловая карта;тепловая карта;Графическое отображение наиболее кликабельных областей сайта.;https://yagla.ru/blog/marketing/100-terminov-internetmarketinga-slovar-marketologa/;Heatmap, тепловая карта
hero image;Hero Image;Самый крупный баннер или иное изображение на сайте. Как правило, первый визуальный образ, который посетители видят, заходя на сайт. Считается одним из ключевых элементов привлечения внимания и удержания пользователя на странице в первые секунды.;https://yagla.ru/blog/marketing/100-terminov-internetmarketinga-slovar-marketologa/;Hero Image
identity marketing;Identity Marketing;комплекс мероприятий, направленный на повышение узнаваемости и популяризации бренда или конкретного товара.;https://kaplunoff.com/blog/marketing-i-prodazhi/237-marketing-words;Identity Marketing
показы ;Показы ;Под показом понимается каждая демонстрация рекламного объявления посетителю страницы. Количество показов учитывается для анализа охвата аудитории, успешности рекламной кампании, а также для определения стоимости рекламы, если используется модель оплаты за количество показов.;https://yagla.ru/blog/marketing/100-terminov-internetmarketinga-slovar-marketologa/;Impressions 
inbound marketing;Inbound Marketing;мероприятия по привлечению клиентов без прямых продаж. Создание такого информационного поля, чтобы клиенты сами искали компанию и обращались к ней за товарами или услугами.;https://kaplunoff.com/blog/marketing-i-prodazhi/237-marketing-words;Inbound Marketing
прерывание, разрыв шаблона ;Прерывание, разрыв шаблона ;Маркетинговый прием, состоящий в привлечении внимания к контенту за счет нарушения привычного пользовательского опыта. Классический пример - всплывающие окна.;https://yagla.ru/blog/marketing/100-terminov-internetmarketinga-slovar-marketologa/;Interruption 
key visual;Key Visual;ключевой графический образ из фирменного стиля компании.;https://kaplunoff.com/blog/marketing-i-prodazhi/237-marketing-words;Key Visual
key performance indicator ;Key Performance Indicator ;ключевые показатели эффективности какого-то мероприятия.;https://kaplunoff.com/blog/marketing-i-prodazhi/237-marketing-words;KPI 
key performance indicator ;key performance indicator ;ключевой показатель эффективности) — набор метрик, которые чаще всего определяет руководитель или маркетолог, которые ориентируется на бизнес-цели достигаемые при помощи сайта. Отслеживание KPIпозволяет максимально точно оценивать эффективность вашего сайта или рекламных кампаний.;https://webpromoexperts.com.ua/blog/36-terminov-internet-marketinga/;KPI 
лендинг, целевая страница, посадочная страница ;Лендинг, Целевая страница, Посадочная страница ;Страница, куда переходят пользователи после клика на рекламное объявление.;https://yagla.ru/blog/marketing/100-terminov-internetmarketinga-slovar-marketologa/;Landing ng> 
посадочная страница ;посадочная страница ;страница сайта, на которую вы целенаправленно приводите потенциально заинтересованного в ее контенте посетителя, при помощи интернет-рекламы. Посадочная страница, как правило заточена на продвижение одного продукта или услуги и максимально стимулирует посетителя совершить нужное вам целевое действие: совершить покупку, зарегистрироваться, позвонить или оставить свои контактные данные, заполнив специальную форму и.т.д.;https://webpromoexperts.com.ua/blog/36-terminov-internet-marketinga/;Landing page 
скрытая конверсия ;Скрытая конверсия ;Ситуация, при которой посетители совершают конверсию не в ходе первого посещения сайта, а вернувшись на сайт позже.;https://yagla.ru/blog/marketing/100-terminov-internetmarketinga-slovar-marketologa/;Latent Conversion 
лиды ;Лиды ;Потенциальные клиенты, которые оставили свою контактную информацию через форму заявки на посадочной странице, заказ обратного звонка, онлайн-чат.;https://yagla.ru/blog/marketing/100-terminov-internetmarketinga-slovar-marketologa/;Leads 
life placement;Life Placement;продуманная акция, согласно которой новый революционный товар помещают в жизнь человека. Классика — когда “Sony Ericsson” запускали на рынок первый телефон с фотоаппаратом: была акция, согласно которой различные люди в местах массового скопления туристов просили себя сфотографировать на телефон.;https://kaplunoff.com/blog/marketing-i-prodazhi/237-marketing-words;Life Placement
жизненная ценность клиента ;жизненная ценность клиента ;Сумма общего дохода, которую приносит клиент компании за все время сотрудничества.;https://yagla.ru/blog/marketing/100-terminov-internetmarketinga-slovar-marketologa/;Lifetime Value, Customer lifetime value LTV, LCV 
наращивание ссылочной массы ;Наращивание ссылочной массы ;Действия по увеличению количества обратных ссылок на сайт - для улучшения позиций в поисковой выдаче.;https://yagla.ru/blog/marketing/100-terminov-internetmarketinga-slovar-marketologa/;Link Building 
живой чат ;живой чат ;Инструмент для обмена сообщениями в реальном времени (обычно с менеджерами клиентской поддержки компании).;https://yagla.ru/blog/marketing/100-terminov-internetmarketinga-slovar-marketologa/;Live Chat 
ключевые фразы с «длинным хвостом» ;ключевые фразы с «длинным хвостом» ;Это ключевые фразы, которые включают в себя более трех слов.;https://yagla.ru/blog/marketing/100-terminov-internetmarketinga-slovar-marketologa/;Longtale Keywords 
мета тег;Мета тег;HTML-тег, который позволяет веб-мастерам вставить текстовое описание страницы. Отображается в результатах поиска сразу под ссылкой на сайт.;https://yagla.ru/blog/marketing/100-terminov-internetmarketinga-slovar-marketologa/;Meta tag, Мета тег
микросайт;микросайт;Небольшой сайт с кратким содержанием, связанным с конкретной рекламной кампанией.;https://yagla.ru/blog/marketing/100-terminov-internetmarketinga-slovar-marketologa/;Microsite, микросайт
mirror-tv;Mirror-TV;размещение визуальной рекламы в зеркале, которое установлено в общественных местах.;https://kaplunoff.com/blog/marketing-i-prodazhi/237-marketing-words;Mirror-TV
многовариантное тестирование ;Многовариантное тестирование ;Вариант А/В теста, когда на странице изменяется и тестируется более одного элемента (например, заголовок и кнопка CTA одновременно).;https://yagla.ru/blog/marketing/100-terminov-internetmarketinga-slovar-marketologa/;Multivariate testing 
open-rate;Open-Rate;коэффициент открытия писем при рассылках.;https://kaplunoff.com/blog/marketing-i-prodazhi/237-marketing-words;Open-Rate
opt-in;Opt-In;добровольное согласие клиента получать информацию, которое выражается самостоятельным предоставлением личных данных.;https://kaplunoff.com/blog/marketing-i-prodazhi/237-marketing-words;Opt-In
органический трафик ;Органический трафик ;Трафик через поисковую выдачу Яндекса или Гугла.;https://yagla.ru/blog/marketing/100-terminov-internetmarketinga-slovar-marketologa/;Organic traffic 
исходящие ссылки ;Исходящие ссылки ;Гиперссылки, которые ведут на другие сайты.;https://yagla.ru/blog/marketing/100-terminov-internetmarketinga-slovar-marketologa/;Outbound Links 
персонализация ;Персонализация ;Настройка контента в соответствии с индивидуальными интересами или предпочтениями посетителей.;https://yagla.ru/blog/marketing/100-terminov-internetmarketinga-slovar-marketologa/;Personalization 
product placement;Product Placement;платное (в основном) помещение названия бренда, логотипа, товарной марки или вообще продукта в произведения искусства (кино, книги, игры, ТВ-программы, песни и т.д.).;https://kaplunoff.com/blog/marketing-i-prodazhi/237-marketing-words;Product Placement
product sitting;Product Sitting;производитель перед релизом передает образец товара лидеру мнений с целью получения от него обратной связи, чтобы потом ее опубликовать в СМИ (и других каналах передачи информации).;https://kaplunoff.com/blog/marketing-i-prodazhi/237-marketing-words;Product Sitting
близость ;близость ;Метод разработки, когда создаются два или более похожих по параметрам сайта.;https://yagla.ru/blog/marketing/100-terminov-internetmarketinga-slovar-marketologa/;Proximity 
отзывчивый веб-дизайн ;Отзывчивый веб-дизайн ;Это оптимальное отображение на любых устройствах - настольном комьютере (desktop), ноутбуках, планшетах, мобильных телефонах.;https://yagla.ru/blog/marketing/100-terminov-internetmarketinga-slovar-marketologa/;Responsive Website Desigh, RWD 
ретаргетинг ;ретаргетинг ;Маркетинговый прием, когда на различных рекламных площадках пользователи видят предложения товаров или услуг, которыми они не воспользовались во время посещения конкретного сайта. Например, после просмотра категории ноутбуков Самсунг в интернет-магазине пользователь видит объявление в рекламной сети Яндекс «Для вас ноутбуки Самсунг со скидкой 30%». Еще одна стратегия ретаргетинга – показ объявлений с целью допродажи действующим клиентам сопутствующих товаров.;https://yagla.ru/blog/marketing/100-terminov-internetmarketinga-slovar-marketologa/;Retargeting 
доход на одного посетителя ;Доход на одного посетителя ;Сумма среднего дохода, который сайт получает от каждого посетителя. Рассчитывается путем деления общей суммы дохода за определенный период на количество посетителей за тот же период. Одна из ключевых метрик эффективности интернет-магазинов.;https://yagla.ru/blog/marketing/100-terminov-internetmarketinga-slovar-marketologa/;Revenue per visitor, RPV 
return of investment ;Return of Investment ;показатель, характеризующий скорость и объем окупаемости инвестиций.;https://kaplunoff.com/blog/marketing-i-prodazhi/237-marketing-words;ROI 
return on investment ;Return on Investment ;возврат инвестиций) — показатель, показывающий какую сумму приносит каждая гривна (доллар) вложенная в интернет-рекламу.;https://webpromoexperts.com.ua/blog/36-terminov-internet-marketinga/;ROI 
reason to believe ;Reason to Believe ;показательно для контент-маркетинга. Термин, характеризующий наличие доверительного и убеждающего элемента в единице контента. Ответ на вопрос читателя «Почему мне вам верить?»;https://kaplunoff.com/blog/marketing-i-prodazhi/237-marketing-words;RTB 
размер выборки ;Размер выборки ;При проведении А/В тестов - минимальная аудитория посетителей, с помощью которой можно достоверно определить уровень конверсии различных вариантов страницы.;https://yagla.ru/blog/marketing/100-terminov-internetmarketinga-slovar-marketologa/;Sample Size 
дефицит, нехватка ;дефицит, нехватка ;В маркетинге - один из психологических приемов для того, чтобы подтолкнуть посетителей к покупке. Реклама играет на страхе человека, что ему что-то не достанется. Примеры scarcity-предложений - «Количество товара ограничено!», «Цена действует только до конца месяца» и т.п.;https://yagla.ru/blog/marketing/100-terminov-internetmarketinga-slovar-marketologa/;Scarcity 
страница результатов поиска, поисковая выдача ;Страница результатов поиска, поисковая выдача ;Страница, которая генерируется поисковой системой в ответ на поисковый запрос пользователя. Конечная цель SEO - сделать так, чтобы целевой сайт оказался на вершине этой страницы.;https://yagla.ru/blog/marketing/100-terminov-internetmarketinga-slovar-marketologa/;SERPS, Search engine result page 
shockvertising;Shockvertising;шокирующая реклама.;https://kaplunoff.com/blog/marketing-i-prodazhi/237-marketing-words;Shockvertising
карта сайта ;Карта сайта ;Иерархический список всех страниц сайта - по аналогии с оглавлением сложного документа или книги.;https://yagla.ru/blog/marketing/100-terminov-internetmarketinga-slovar-marketologa/;Site Map 
